src,x,y               // 단위는 px
101,40,330
102,40,389
103,40,455
104,41.5,519
105,40,585
106,72.5,632
107,143.5,633
108,197.5,634.5
109,250,634
110,321,632
111,393,634
112,463,633
113,548,633
114,580,580
115,579.5,520
116,580,433
117,579.5,387
118,570,313
119,464,295
120,391,295
121,322,295
122,251,295
123,142,294
201,40,241
202,41,187
203,41,135
204,40,80
205,42,28
206,92.5,27.5
207,142,28
208,195,30
209,250,28
210,319,26
211,465,27.5
212,531,26
213,611,27
214,680,31
215,743,30
216,804,28
217,911,28
301,141,81
302,141,136
303,141,188
304,141,243
305,144,388
306,142,456
307,144,520
308,143,585
401,92.5,520
402,196.5,520
403,250,520
404,320,519
405,392,520
406,464,519
407,522,519
408,625.5,519
409,679,520
410,744,519.5
411,803,519.5
412,803,433
413,803,388
414,805,312
415,803,240
416,805,188
417,803,95
501,249,79
502,250,136
503,249,189
504,250,241
505,247,388
506,250,454
507,250,584
601,323,192
602,323,241
603,322,367
604,394,434
605,462,435
606,520,435
607,624,434
608,680,434
609,744,435
610,874,435
611,911,389
612,908,312
613,908,241
614,914,188
615,912,139
616,853,93
617,743,94
618,678,98
619,611,97
620,532,96
621,464,96
622,392,96
701,392,189
702,462,189
703,531,188
704,611,187
705,681,188
706,745,188
707,859,188
801,620,635
802,676,634
803,678,580
804,681,387
805,679,314
806,679,241
901,464,580
902,464,388
903,465,241
904,463,135
