src,dst,time,dis,money,line
101,102,200,500,200,1
102,103,300,400,300,1
103,104,1000,600,500,1
104,105,500,200,340,1
105,106,150,600,450,1
106,107,320,200,120,1
107,108,400,700,650,1
108,109,800,350,200,1
109,110,900,250,430,1
110,111,500,650,120,1
111,112,1000,400,890,1
112,113,2000,500,800,1
113,114,500,500,700,1
114,115,220,400,540,1
115,116,230,600,330,1
116,117,300,200,280,1
117,118,500,600,800,1
118,119,480,200,1000,1
119,120,500,700,2000,1
120,121,400,350,700,1
121,122,900,250,650,1
122,123,300,650,440,1
123,101,480,400,200,1
101,201,1000,500,300,2
201,202,250,500,500,2
202,203,480,400,340,2
203,204,400,600,450,2
204,205,250,200,120,2
205,206,500,600,650,2
206,207,320,200,200,2
207,208,250,700,430,2
208,209,300,350,120,2
209,210,150,250,890,2
210,211,900,650,800,2
211,212,320,400,700,2
212,213,150,500,540,2
213,214,500,500,330,2
214,215,210,400,280,2
215,216,150,600,800,2
216,217,500,200,1000,2
207,301,300,600,2000,3
301,302,300,200,700,3
302,303,480,700,650,3
303,304,400,350,440,3
304,123,250,250,200,3
123,305,300,650,300,3
305,306,250,400,500,3
306,307,900,500,340,3
307,308,480,500,450,3
308,107,400,400,120,3
104,401,1000,600,650,4
401,307,150,200,200,4
307,402,300,600,430,4
402,403,210,200,120,4
403,404,320,700,890,4
404,405,210,350,800,4
405,406,500,250,700,4
406,407,300,650,540,4
407,115,320,400,330,4
115,408,480,500,280,4
408,409,300,340,800,4
409,410,480,500,1000,4
410,411,300,400,2000,4
411,412,900,600,700,4
412,413,400,200,650,4
413,414,430,600,440,4
414,415,150,200,200,4
415,416,1000,700,300,4
416,417,500,350,500,4
417,216,900,250,340,4
209,501,320,650,450,5
501,502,320,400,120,5
502,503,430,500,650,5
503,504,210,500,200,5
504,122,320,400,430,5
122,505,480,600,120,5
505,506,300,200,890,5
506,403,320,600,800,5
403,507,300,200,700,5
507,109,1000,700,540,5
601,602,150,350,330,6
602,121,700,250,280,6
121,603,500,650,800,6
603,604,300,400,1000,6
604,605,430,200,2000,6
605,606,480,300,700,6
606,116,320,400,650,6
116,607,250,200,440,6
607,608,500,600,200,6
608,609,700,200,300,6
609,412,320,700,500,6
412,610,1000,350,340,6
610,611,700,250,450,6
611,612,700,650,120,6
612,613,150,400,650,6
613,614,430,200,200,6
614,615,500,300,430,6
615,616,700,400,120,6
616,417,480,200,890,6
417,617,320,600,800,6
617,618,300,200,700,6
618,619,250,700,540,6
619,620,700,350,330,6
620,621,320,250,280,6
621,622,480,650,800,6
622,601,150,400,1000,6
202,303,1000,200,2000,7
303,503,700,300,700,7
503,601,500,400,650,7
601,701,430,200,440,7
701,702,150,600,200,7
702,703,600,200,300,7
703,704,700,700,500,7
704,705,250,350,340,7
705,706,600,250,450,7
706,416,300,650,120,7
416,707,430,400,650,7
707,614,480,200,200,7
113,801,600,300,430,8
801,802,1000,400,120,8
802,803,700,200,890,8
803,409,600,600,800,8
409,608,500,200,700,8
608,804,700,700,540,8
804,805,150,350,330,8
805,806,210,250,280,8
806,705,600,650,800,8
705,618,250,400,1000,8
618,214,700,200,2000,8
112,901,600,300,700,9
901,406,300,400,650,9
406,605,210,200,440,9
605,902,480,600,280,9
902,119,430,200,800,9
119,903,1000,700,1000,9
903,702,150,350,2000,9
702,904,500,250,700,9
904,621,250,650,650,9
621,211,300,400,440,9
